# gene name,C1,C2,C3,C4,E1,E2,E3,E4
yfhA,1.57E-04,1.64E-04,1.64E-04,1.68E-04,1.35E-04,1.31E-04,1.48E-04,1.27E-04
oppD,5.53E-05,8.53E-05,1.22E-04,9.61E-05,6.85E-04,5.52E-04,4.55E-04,9.27E-04
ygfE,2.63E-05,7.23E-05,2.48E-06,1.59E-05,1.39E-04,1.03E-04,1.22E-04,1.20E-04
mrdA,4.99E-04,5.16E-04,5.07E-04,5.50E-04,4.39E-04,3.86E-04,4.09E-04,4.48E-04
phoH,1.67E-05,2.03E-05,5.66E-05,5.57E-05,1.30E-04,1.38E-04,1.06E-04,1.81E-04
ybaB,2.22E-04,2.88E-04,1.32E-04,2.12E-04,3.87E-04,4.07E-04,3.72E-04,4.43E-04
yceI,3.33E-05,1.32E-05,7.62E-06,2.69E-05,1.35E-04,9.68E-05,6.68E-05,1.10E-04
potH,1.31E-04,1.44E-04,2.01E-04,2.10E-04,3.12E-05,5.84E-05,7.82E-05,4.18E-05
tsx,1.85E-04,2.10E-04,2.01E-04,2.27E-04,1.29E-04,1.37E-04,1.66E-04,1.30E-04
yhjE,5.03E-04,4.68E-04,6.06E-04,5.98E-04,8.14E-05,2.46E-04,3.20E-04,8.13E-05
ydcF,3.32E-05,3.76E-05,5.90E-05,3.76E-05,7.29E-05,7.89E-05,8.28E-05,9.89E-05
murA,4.95E-04,4.88E-04,4.36E-04,4.69E-04,5.90E-04,5.38E-04,6.18E-04,6.20E-04
hdeB,6.86E-04,5.33E-04,1.12E-04,2.66E-04,2.47E-03,1.84E-03,1.25E-03,2.36E-03
grxB,8.73E-05,4.30E-05,5.27E-05,5.51E-05,4.56E-04,3.29E-04,1.99E-04,3.68E-04
yjbR,2.54E-04,2.34E-04,1.72E-04,1.90E-04,3.66E-04,3.39E-04,3.02E-04,3.21E-04
ugpC,2.30E-04,2.54E-04,2.47E-04,2.24E-04,1.53E-04,1.30E-04,1.85E-04,1.02E-04
tyrB,6.55E-04,6.85E-04,5.90E-04,5.84E-04,7.75E-04,8.40E-04,7.59E-04,7.61E-04
hisI,6.24E-05,2.99E-05,2.61E-05,1.38E-05,1.53E-04,1.21E-04,1.02E-04,9.15E-05
cysG,3.97E-04,3.66E-04,3.87E-04,4.37E-04,3.13E-04,3.05E-04,3.13E-04,3.36E-04
yhaG,2.87E-04,2.94E-04,3.42E-04,3.01E-04,1.94E-04,2.40E-04,2.36E-04,1.84E-04
yebG,5.52E-05,7.60E-05,1.50E-05,3.56E-05,1.36E-04,1.44E-04,1.31E-04,9.69E-05
oppC,1.67E-04,2.14E-04,2.18E-04,2.06E-04,9.95E-04,9.25E-04,8.01E-04,1.61E-03
dapA,2.96E-04,2.98E-04,1.88E-04,1.58E-04,5.10E-04,4.15E-04,4.45E-04,4.07E-04
yiiQ,7.54E-05,7.85E-05,9.17E-05,7.65E-05,1.04E-04,1.33E-04,1.13E-04,1.12E-04
sbp,1.97E-04,2.53E-04,2.75E-04,3.13E-04,8.70E-05,1.43E-04,1.52E-04,9.75E-05
rseA,3.06E-04,2.45E-04,1.69E-04,2.43E-04,6.68E-04,5.30E-04,4.20E-04,7.08E-04
yceA,6.78E-05,6.70E-05,6.81E-05,5.79E-05,7.71E-05,7.83E-05,7.54E-05,8.01E-05
