# gene name,C1,C2,C3,C4,E1,E2,E3,E4
ompA,2.99E-03,2.65E-03,7.01E-04,1.40E-03,3.71E-03,2.75E-03,2.52E-03,3.75E-03
yigM,1.46E-04,2.40E-04,4.20E-04,3.66E-04,1.01E-04,1.42E-04,2.16E-04,1.81E-04
yagB,6.52E-04,5.73E-04,4.71E-04,4.83E-04,7.18E-04,6.85E-04,5.88E-04,6.07E-04
yjeB,1.03E-04,1.24E-04,9.96E-05,8.69E-05,1.36E-04,1.09E-04,1.21E-04,1.71E-04
fepB,3.29E-04,4.11E-04,5.38E-04,4.95E-04,3.10E-04,3.36E-04,4.16E-04,2.60E-04
torT,2.71E-04,2.63E-04,1.94E-04,2.02E-04,3.50E-04,2.96E-04,3.19E-04,2.27E-04
yhcQ,5.71E-06,3.90E-05,1.09E-04,7.02E-05,3.87E-06,9.67E-06,2.24E-05,9.93E-06
argT,9.34E-05,7.74E-05,4.54E-05,9.04E-05,5.35E-05,4.91E-05,3.05E-05,6.74E-05
gpsA,1.77E-04,2.02E-04,2.25E-04,1.91E-04,1.38E-04,1.82E-04,1.95E-04,1.30E-04
gpmB,7.01E-05,9.90E-05,1.62E-04,1.65E-04,4.44E-05,6.94E-05,9.92E-05,7.67E-05
menE,6.95E-05,1.03E-04,2.07E-04,1.73E-04,2.61E-05,6.90E-05,1.22E-04,3.29E-05
ybaL,5.00E-04,5.90E-04,7.72E-04,8.00E-04,3.78E-04,4.80E-04,6.63E-04,3.26E-04
yidE,2.28E-04,3.46E-04,6.03E-04,5.06E-04,1.58E-04,2.92E-04,3.34E-04,1.45E-04
yigC,5.15E-04,6.41E-04,7.45E-04,6.67E-04,4.77E-04,5.39E-04,5.89E-04,5.46E-04
insB_5,6.77E-04,8.05E-04,1.60E-03,1.43E-03,3.28E-04,7.55E-04,8.70E-04,5.37E-04
yjiK,5.18E-05,9.45E-05,1.12E-04,9.47E-05,3.64E-05,7.32E-05,7.51E-05,3.53E-05
relA,3.32E-04,3.21E-04,4.42E-04,3.89E-04,2.87E-04,3.31E-04,3.29E-04,3.02E-04
yjgB,1.62E-04,2.05E-04,3.21E-04,2.45E-04,8.51E-05,1.98E-04,1.97E-04,8.70E-05
ppdB,6.58E-05,4.87E-05,4.98E-05,6.08E-05,2.17E-05,1.08E-05,4.52E-05,5.76E-05
yhcC,1.65E-04,2.60E-04,3.56E-04,3.36E-04,1.19E-04,1.89E-04,2.63E-04,1.01E-04
yheG,1.11E-04,1.59E-04,2.92E-04,1.57E-04,7.95E-05,9.32E-05,1.41E-04,8.06E-05
hofC,1.09E-04,1.95E-04,3.33E-04,2.83E-04,6.86E-05,1.43E-04,1.69E-04,1.20E-04
rhsA,3.50E-04,5.18E-04,1.18E-03,1.23E-03,2.33E-04,4.83E-04,5.22E-04,1.38E-04
sms,5.08E-05,1.22E-04,2.48E-04,2.11E-04,3.20E-05,6.48E-05,1.11E-04,5.48E-05
ytfJ,2.63E-04,2.56E-04,2.94E-04,2.45E-04,2.91E-04,2.87E-04,3.14E-04,2.72E-04
yhjD,4.23E-05,7.86E-05,1.90E-04,1.34E-04,1.01E-05,5.41E-05,7.83E-05,2.49E-05
yhiN,3.21E-04,4.18E-04,6.43E-04,4.81E-04,2.54E-04,3.33E-04,4.25E-04,2.11E-04
kch,2.10E-04,2.12E-04,1.82E-04,1.68E-04,2.20E-04,2.29E-04,2.00E-04,2.81E-04
prc,2.24E-05,4.55E-06,6.16E-06,1.32E-06,5.27E-05,2.49E-05,1.74E-05,1.55E-05
yiaD,8.19E-04,6.94E-04,6.28E-04,7.00E-04,6.97E-04,5.71E-04,5.93E-04,6.05E-04
yagQ,5.18E-05,6.95E-05,1.62E-04,1.19E-04,3.30E-05,5.87E-05,7.48E-05,2.22E-05
potE,4.23E-04,4.29E-04,5.12E-04,4.96E-04,3.33E-04,4.27E-04,4.59E-04,2.95E-04
trkA,3.47E-04,4.53E-04,4.88E-04,5.00E-04,3.39E-04,3.78E-04,4.23E-04,3.38E-04
bioB,8.68E-05,5.75E-05,8.67E-05,5.49E-05,1.02E-04,6.49E-05,1.39E-04,1.19E-04
glnA,2.44E-03,1.95E-03,1.15E-03,1.36E-03,1.27E-03,1.04E-03,1.07E-03,1.23E-03
yhfX,8.23E-05,1.91E-04,4.72E-04,4.23E-04,2.67E-05,1.09E-04,1.58E-04,1.29E-04
yjjK,1.07E-03,1.12E-03,9.32E-04,1.05E-03,9.32E-04,9.61E-04,1.02E-03,8.43E-04
hsdM,2.55E-04,2.36E-04,2.62E-04,2.24E-04,2.05E-04,2.47E-04,2.20E-04,1.86E-04
nanA,6.82E-05,1.25E-04,2.32E-04,2.29E-04,4.09E-05,7.46E-05,1.08E-04,1.01E-04
mrdB,4.52E-05,7.37E-05,8.47E-05,1.15E-04,6.31E-06,5.46E-05,7.26E-05,2.85E-05
bacA,2.13E-04,3.06E-04,3.12E-04,3.53E-04,1.59E-04,2.18E-04,3.05E-04,1.37E-04
rne,4.63E-04,3.89E-04,2.88E-04,3.51E-04,5.33E-04,5.23E-04,4.75E-04,3.65E-04
kdpE,8.36E-06,2.18E-05,9.74E-05,9.92E-05,2.57E-06,6.78E-06,1.95E-05,1.14E-05
yagW,1.43E-04,2.19E-04,3.74E-04,3.19E-04,7.40E-05,1.87E-04,2.26E-04,8.00E-05
purL,1.95E-04,2.31E-04,4.73E-04,4.43E-04,6.64E-05,2.12E-04,2.29E-04,2.18E-04
yhjN,9.39E-05,1.73E-04,4.84E-04,3.46E-04,1.81E-05,8.14E-05,1.89E-04,9.21E-05
insB_1,6.09E-04,8.07E-04,1.55E-03,1.34E-03,3.05E-04,7.28E-04,7.78E-04,6.38E-04
visC,1.38E-04,1.88E-04,2.81E-04,2.89E-04,1.00E-04,1.22E-04,2.08E-04,1.37E-04
tra5_2,3.89E-04,6.07E-04,1.25E-03,8.64E-04,2.85E-04,5.28E-04,5.13E-04,2.99E-04
cpsB,6.98E-05,1.06E-04,1.46E-04,8.95E-05,4.50E-05,5.98E-05,9.93E-05,5.57E-05
trs5_10,2.98E-03,3.88E-03,4.54E-03,3.51E-03,2.06E-03,3.08E-03,3.72E-03,2.21E-03
yfcB,8.00E-04,5.97E-04,5.60E-04,5.41E-04,7.86E-04,7.58E-04,6.54E-04,8.33E-04
holC,1.00E-04,5.32E-05,8.73E-06,3.72E-05,1.37E-04,6.97E-05,6.52E-05,1.75E-04
hisJ,3.14E-04,3.40E-04,1.31E-04,1.80E-04,4.30E-04,3.20E-04,3.40E-04,3.10E-04
tldD,1.62E-04,2.53E-04,3.73E-04,3.24E-04,1.42E-04,1.77E-04,2.33E-04,1.87E-04
yebC,6.73E-04,6.89E-04,5.78E-04,6.08E-04,6.37E-04,7.73E-04,7.71E-04,6.87E-04
lexA,1.25E-04,1.28E-04,1.34E-04,1.34E-04,1.28E-04,1.29E-04,1.03E-04,1.02E-04
cydA,9.66E-05,1.04E-04,1.48E-04,1.57E-04,1.65E-04,1.48E-04,1.48E-04,2.28E-04
ndk,1.23E-04,7.18E-05,4.08E-05,7.46E-05,2.79E-05,1.17E-05,1.60E-05,8.03E-05
fabB,1.45E-03,1.15E-03,8.00E-04,9.71E-04,1.37E-03,1.31E-03,1.32E-03,2.00E-03
yhiR,8.50E-05,1.37E-04,2.95E-04,2.18E-04,1.82E-05,9.66E-05,1.42E-04,8.32E-05
fruA,2.53E-04,3.44E-04,4.61E-04,4.29E-04,1.84E-04,2.73E-04,3.66E-04,1.92E-04
yidY,1.16E-04,2.67E-04,4.49E-04,3.32E-04,1.02E-04,1.99E-04,2.12E-04,6.68E-05
gyrB,1.09E-03,1.11E-03,1.19E-03,1.27E-03,1.06E-03,1.02E-03,1.06E-03,1.15E-03
dnaN,5.90E-04,4.69E-04,3.23E-04,3.52E-04,1.18E-03,5.94E-04,4.77E-04,7.21E-04
tolC,9.51E-04,9.98E-04,6.36E-04,7.73E-04,1.06E-03,1.00E-03,8.96E-04,1.12E-03
kdpB,5.86E-05,9.22E-05,2.13E-04,1.47E-04,2.14E-05,6.45E-05,1.09E-04,1.71E-05
yicJ,1.22E-04,2.17E-04,4.18E-04,3.64E-04,5.04E-05,1.76E-04,2.30E-04,6.41E-05
nagA,3.27E-05,4.99E-05,9.75E-05,9.04E-05,3.71E-05,2.86E-05,2.68E-05,5.31E-05
hisB,2.67E-04,1.44E-04,4.52E-05,9.67E-05,5.48E-04,2.11E-04,2.39E-04,2.44E-04
pal,5.57E-04,6.11E-04,1.86E-04,2.96E-04,5.98E-04,5.64E-04,6.27E-04,6.29E-04
yfiC,1.02E-04,1.37E-04,2.25E-04,2.31E-04,7.39E-05,1.14E-04,1.55E-04,7.22E-05
chaA,3.19E-04,2.84E-04,3.09E-04,3.28E-04,4.56E-04,3.76E-04,3.60E-04,7.82E-04
malS,3.81E-04,5.43E-04,9.87E-04,7.36E-04,3.06E-04,4.91E-04,5.09E-04,2.72E-04
insB_2,5.38E-04,7.61E-04,1.44E-03,1.21E-03,2.41E-04,6.31E-04,7.59E-04,5.87E-04
fdoI,4.62E-06,5.38E-05,1.63E-04,1.26E-04,5.39E-07,4.82E-06,2.09E-05,4.68E-05
sdiA,4.09E-05,6.17E-05,3.92E-05,3.25E-05,6.87E-05,5.21E-05,4.66E-05,7.57E-05
yjeJ,1.63E-04,1.42E-04,1.56E-04,1.52E-04,2.21E-04,1.57E-04,1.61E-04,1.88E-04
kdgT,1.73E-04,2.90E-04,4.77E-04,5.03E-04,1.05E-04,2.49E-04,2.86E-04,1.42E-04
insA_6,1.84E-04,3.36E-04,5.97E-04,4.32E-04,8.06E-05,2.44E-04,3.18E-04,1.66E-04
yibP,3.35E-04,3.79E-04,4.88E-04,4.10E-04,2.49E-04,3.30E-04,3.87E-04,3.30E-04
selB,1.19E-03,1.25E-03,1.50E-03,1.28E-03,1.05E-03,1.20E-03,1.27E-03,1.07E-03
proW,8.78E-05,1.42E-04,1.89E-04,1.60E-04,1.26E-04,7.71E-05,1.20E-04,5.66E-05
glpF,5.39E-04,5.30E-04,3.30E-04,3.45E-04,3.84E-04,3.46E-04,2.78E-04,2.74E-04
yggF,1.17E-04,1.67E-04,2.90E-04,2.94E-04,7.97E-05,1.31E-04,1.98E-04,6.72E-05
yabC,9.11E-04,9.04E-04,7.87E-04,8.34E-04,8.76E-04,9.87E-04,8.92E-04,9.98E-04
araA,1.21E-04,2.01E-04,5.46E-04,6.39E-04,4.61E-05,1.45E-04,1.85E-04,1.73E-04
celA,4.36E-04,3.42E-04,2.09E-04,2.35E-04,3.98E-04,4.44E-04,3.54E-04,4.36E-04
putP,6.01E-04,7.79E-04,7.30E-04,6.73E-04,5.22E-04,6.13E-04,6.99E-04,5.46E-04
moeB,5.85E-05,7.99E-05,1.32E-04,1.54E-04,5.42E-05,6.66E-05,7.42E-05,6.44E-05
div,1.88E-04,1.94E-04,2.17E-04,2.59E-04,1.43E-04,1.52E-04,1.81E-04,2.15E-04
yejH,2.46E-04,2.46E-04,3.60E-04,3.09E-04,2.43E-04,2.29E-04,2.55E-04,2.27E-04
fadA,9.30E-05,1.25E-04,3.28E-04,2.72E-04,4.77E-05,8.54E-05,1.61E-04,7.36E-05
dgt,4.53E-04,5.08E-04,5.45E-04,5.13E-04,4.85E-04,4.48E-04,4.71E-04,4.65E-04
yadH,2.48E-05,8.56E-05,1.66E-04,9.14E-05,3.18E-06,3.64E-05,7.31E-05,1.76E-05
panC,5.63E-05,5.01E-05,7.97E-05,7.45E-05,8.47E-05,8.36E-05,7.21E-05,1.36E-04
purT,9.06E-04,6.63E-04,5.63E-04,6.92E-04,8.40E-04,8.27E-04,7.87E-04,9.63E-04
sfhB,5.51E-05,6.09E-05,1.08E-04,8.82E-05,3.23E-05,4.53E-05,4.93E-05,7.49E-05
wecG,4.18E-05,7.54E-05,1.36E-04,7.61E-05,1.77E-05,3.52E-05,7.74E-05,2.78E-05
yjiE,1.33E-04,1.74E-04,3.01E-04,2.37E-04,9.76E-05,1.81E-04,1.40E-04,1.32E-04
treC,2.51E-04,3.46E-04,4.74E-04,4.05E-04,2.30E-04,2.94E-04,3.20E-04,2.61E-04
ftsK,3.78E-05,1.19E-04,2.05E-04,1.56E-04,5.46E-06,6.25E-05,1.07E-04,4.50E-05
murI,5.74E-05,7.81E-05,2.10E-04,1.64E-04,1.73E-05,5.85E-05,9.97E-05,4.53E-05
bisC,2.44E-04,2.85E-04,4.21E-04,3.44E-04,2.30E-04,2.70E-04,2.86E-04,1.85E-04
dedA,1.65E-04,1.96E-04,1.82E-04,2.03E-04,1.99E-04,2.00E-04,2.19E-04,2.82E-04
yagE,8.52E-05,8.35E-05,2.31E-04,1.91E-04,2.30E-05,3.46E-05,1.45E-04,5.03E-05
hypD,1.45E-04,1.44E-04,1.93E-04,2.32E-04,8.99E-05,1.07E-04,1.64E-04,1.53E-04
yrbA,1.75E-05,2.88E-05,4.57E-06,8.90E-06,2.37E-05,1.92E-05,3.22E-05,5.76E-05
amtB,7.35E-04,7.06E-04,9.43E-04,7.84E-04,5.13E-04,6.70E-04,8.21E-04,4.02E-04
yjbA,2.65E-04,2.76E-04,2.15E-04,2.40E-04,3.34E-04,2.92E-04,2.55E-04,2.72E-04
yejG,1.49E-04,8.98E-05,2.06E-05,4.98E-05,1.14E-04,1.19E-04,1.34E-04,2.54E-04
yjcP,1.71E-04,1.62E-04,1.90E-04,1.61E-04,1.28E-04,1.35E-04,1.52E-04,1.77E-04
creC,2.25E-04,2.65E-04,3.97E-04,4.07E-04,1.80E-04,2.31E-04,2.90E-04,2.25E-04
trpE,2.88E-04,2.84E-04,2.28E-04,2.08E-04,3.18E-04,2.76E-04,2.88E-04,2.84E-04
mutL,6.64E-04,7.16E-04,8.37E-04,8.11E-04,5.72E-04,6.74E-04,7.39E-04,6.64E-04
aer,1.23E-03,1.30E-03,1.14E-03,1.34E-03,1.06E-03,1.17E-03,1.24E-03,8.35E-04
yehV,1.40E-04,1.83E-04,1.90E-04,1.92E-04,1.15E-04,1.31E-04,1.74E-04,1.57E-04
yhfS,1.02E-04,1.81E-04,3.62E-04,3.04E-04,3.92E-05,1.38E-04,1.96E-04,9.51E-05
ygbD,5.18E-04,4.94E-04,5.59E-04,5.79E-04,4.38E-04,4.69E-04,5.38E-04,5.00E-04
yhhJ,2.10E-04,2.69E-04,6.16E-04,5.22E-04,1.68E-04,1.90E-04,2.42E-04,2.93E-04
yrbC,1.27E-04,1.42E-04,1.89E-04,1.63E-04,1.80E-04,1.73E-04,2.05E-04,1.73E-04
murD,7.36E-05,1.49E-04,2.30E-04,2.44E-04,5.22E-05,1.05E-04,1.18E-04,1.19E-04
yidH,1.56E-04,2.14E-04,2.88E-04,2.34E-04,1.44E-04,1.78E-04,2.09E-04,1.31E-04
zwf,5.88E-04,5.70E-04,2.36E-04,2.99E-04,9.07E-04,5.78E-04,4.28E-04,7.60E-04
yihT,2.19E-05,1.36E-05,1.57E-04,1.22E-04,6.61E-07,3.12E-05,2.32E-05,3.27E-08
yhhX,2.41E-04,3.03E-04,3.98E-04,3.53E-04,2.74E-04,2.57E-04,2.90E-04,1.64E-04
yjbO,3.04E-05,6.53E-05,1.12E-04,1.14E-04,3.75E-06,4.31E-05,6.40E-05,4.38E-05
yigK,4.22E-04,4.69E-04,4.10E-04,3.67E-04,4.09E-04,3.58E-04,3.81E-04,3.36E-04
uidB,1.51E-04,1.92E-04,2.37E-04,2.31E-04,1.04E-04,1.82E-04,1.98E-04,8.96E-05
lpp,1.00E-03,7.02E-04,1.35E-04,3.46E-04,9.04E-04,1.11E-03,1.00E-03,6.68E-04
hyaA,1.59E-04,1.63E-04,1.25E-04,1.60E-04,1.38E-04,1.19E-04,1.46E-04,1.29E-04
yhgF,8.71E-04,1.02E-03,1.26E-03,1.24E-03,7.68E-04,9.25E-04,1.07E-03,8.27E-04
gntU_1,1.07E-03,1.11E-03,8.25E-04,8.36E-04,9.63E-04,7.78E-04,7.50E-04,6.50E-04
yrdC,1.48E-05,1.50E-05,5.50E-05,2.98E-05,3.20E-06,8.22E-06,1.77E-05,1.52E-05
pntB,6.71E-04,5.27E-04,2.87E-04,3.28E-04,3.56E-04,2.82E-04,2.80E-04,2.49E-04
mukF,9.51E-05,1.13E-04,1.12E-04,1.01E-04,4.78E-05,7.56E-05,1.00E-04,1.03E-04
aslA,1.44E-04,2.35E-04,3.62E-04,2.99E-04,1.60E-04,1.86E-04,2.01E-04,1.60E-04
yjfC,2.51E-04,4.50E-04,7.14E-04,6.17E-04,1.62E-04,3.68E-04,4.35E-04,2.36E-04
ilvC,4.04E-03,3.17E-03,1.51E-03,2.18E-03,1.95E-03,1.68E-03,1.62E-03,1.74E-03
yjjN,1.37E-04,1.26E-04,2.16E-04,1.94E-04,9.85E-05,1.35E-04,1.51E-04,1.17E-04
pyrD,1.01E-04,6.23E-05,6.76E-05,8.60E-05,1.01E-04,1.01E-04,8.13E-05,1.42E-04
hypB,4.06E-05,2.11E-05,6.71E-05,1.15E-04,1.82E-06,5.57E-06,3.29E-05,4.43E-05
rhlE,1.78E-04,2.20E-04,2.62E-04,2.47E-04,1.65E-04,1.78E-04,2.24E-04,1.84E-04
yieI,9.10E-05,1.19E-04,1.96E-04,1.76E-04,9.15E-05,1.08E-04,1.20E-04,8.37E-05
recF,6.39E-05,8.85E-05,2.77E-04,2.36E-04,7.05E-07,5.35E-05,1.14E-04,9.13E-05
yadQ,1.65E-04,2.76E-04,4.98E-04,5.25E-04,8.60E-05,2.03E-04,3.45E-04,9.44E-05
dcuB,9.15E-05,1.83E-04,3.32E-04,2.80E-04,3.76E-05,1.88E-04,1.69E-04,2.07E-06
nikA,1.00E-04,1.88E-04,2.87E-04,2.55E-04,3.37E-05,1.16E-04,2.22E-04,4.20E-05
glpX,2.17E-04,2.38E-04,3.92E-04,2.96E-04,1.93E-04,2.05E-04,2.72E-04,1.51E-04
yiaU,1.86E-04,3.21E-04,5.03E-04,3.29E-04,1.37E-04,2.42E-04,3.09E-04,6.90E-05
smp,7.94E-05,8.83E-05,1.55E-04,1.52E-04,6.12E-05,6.09E-05,1.12E-04,7.82E-05
phnA,1.54E-04,1.40E-04,7.74E-05,1.08E-04,1.92E-04,1.46E-04,1.36E-04,1.51E-04
dnaJ,4.42E-04,4.29E-04,6.01E-04,5.83E-04,4.45E-04,4.86E-04,3.39E-04,4.05E-04
yehY,4.60E-04,5.14E-04,4.10E-04,4.13E-04,3.85E-04,3.60E-04,4.62E-04,3.43E-04
gshA,5.15E-04,5.12E-04,3.58E-04,4.25E-04,6.12E-04,4.98E-04,4.61E-04,6.14E-04
yhaJ,1.82E-04,2.46E-04,3.55E-04,3.46E-04,1.43E-04,2.19E-04,2.75E-04,9.95E-05
yraR,4.34E-05,7.08E-05,1.74E-04,1.61E-04,1.36E-05,4.89E-05,9.90E-05,3.16E-05
ybhD,2.95E-04,2.62E-04,3.74E-04,3.37E-04,2.42E-04,2.90E-04,3.00E-04,2.32E-04
yigA,5.01E-04,5.85E-04,6.52E-04,5.85E-04,4.92E-04,4.98E-04,5.90E-04,4.50E-04
yabN,3.10E-04,4.89E-04,7.23E-04,6.37E-04,2.40E-04,3.81E-04,5.02E-04,3.06E-04
tolA,5.02E-04,4.19E-04,2.61E-04,3.52E-04,4.94E-04,5.17E-04,4.47E-04,4.46E-04
lpxD,4.16E-04,3.69E-04,1.60E-04,2.18E-04,4.72E-04,4.20E-04,3.39E-04,3.89E-04
sun,6.11E-05,1.12E-04,2.20E-04,1.89E-04,2.94E-05,8.19E-05,1.13E-04,8.34E-05
recJ,3.85E-04,3.89E-04,6.22E-04,5.20E-04,2.91E-04,3.97E-04,4.42E-04,3.34E-04
mcrD,1.21E-04,1.99E-04,3.49E-04,3.07E-04,8.72E-05,1.91E-04,1.99E-04,8.54E-05
yggA,9.27E-06,4.64E-05,7.52E-05,6.53E-05,5.83E-07,1.26E-05,5.07E-05,6.69E-06
nupG,4.18E-05,7.62E-05,1.54E-04,1.58E-04,1.52E-05,6.91E-05,9.19E-05,1.77E-05
yghB,3.53E-05,4.28E-05,9.82E-05,9.85E-05,1.58E-05,1.44E-05,6.00E-05,4.48E-05
mcrB,9.44E-05,1.21E-04,1.50E-04,1.47E-04,1.01E-04,1.23E-04,8.74E-05,9.91E-05
yfhH,8.10E-06,4.19E-05,1.31E-04,1.15E-04,1.82E-05,2.18E-05,2.26E-05,3.29E-05
yhbC,9.97E-05,1.21E-04,1.41E-04,1.52E-04,9.18E-05,7.17E-05,1.06E-04,1.30E-04
wecB,4.98E-05,5.73E-05,1.99E-04,1.62E-04,3.14E-05,3.68E-05,5.59E-05,7.97E-05
yjaI,1.04E-03,1.10E-03,7.77E-04,8.07E-04,1.25E-03,1.11E-03,1.02E-03,1.01E-03
ygaG,8.08E-05,9.53E-05,4.52E-05,7.85E-05,1.30E-04,1.69E-04,1.88E-04,6.60E-04
ykgG,2.19E-04,2.80E-04,1.72E-04,1.59E-04,1.64E-04,1.75E-04,1.71E-04,7.73E-05
metG,2.24E-04,1.24E-04,5.68E-05,7.70E-05,2.80E-04,1.58E-04,1.34E-04,2.63E-04
yhiQ,1.64E-04,2.03E-04,3.97E-04,3.51E-04,7.41E-05,1.71E-04,2.67E-04,1.35E-04
araJ,1.09E-04,1.77E-04,2.26E-04,2.60E-04,3.79E-05,1.33E-04,2.10E-04,1.99E-05
nikB,1.12E-04,1.22E-04,2.95E-04,2.67E-04,1.61E-05,1.01E-04,2.03E-04,5.48E-05
kefB,5.72E-04,7.71E-04,1.09E-03,1.11E-03,4.87E-04,6.95E-04,8.31E-04,4.86E-04
sbmA,6.23E-05,5.19E-05,6.43E-05,4.78E-05,7.05E-05,2.24E-05,3.04E-05,1.78E-05
ptsI,1.28E-03,1.25E-03,8.29E-04,1.05E-03,1.28E-03,1.27E-03,1.27E-03,1.29E-03
yi22_1,6.88E-04,1.09E-03,2.39E-03,1.80E-03,4.16E-04,1.06E-03,1.22E-03,3.27E-04
lpxB,4.80E-05,6.87E-05,1.10E-04,8.40E-05,5.35E-06,4.62E-05,6.47E-05,6.57E-05
aroK,2.86E-04,2.94E-04,1.49E-04,1.98E-04,3.29E-04,2.89E-04,2.52E-04,3.19E-04
yciB,7.25E-05,7.98E-05,4.65E-05,5.34E-05,6.21E-05,9.21E-05,7.81E-05,1.30E-04
yqjE,1.81E-05,4.94E-05,1.06E-04,1.22E-04,3.45E-06,4.24E-05,5.11E-05,2.15E-05
kdgK,1.15E-05,5.39E-06,3.53E-05,2.50E-05,8.37E-06,1.19E-05,5.47E-07,8.68E-06
ygjO,6.57E-05,1.84E-04,3.08E-04,2.79E-04,6.54E-05,1.08E-04,1.76E-04,8.96E-05
pfs,2.61E-04,2.33E-04,2.48E-04,2.42E-04,3.00E-04,2.68E-04,2.32E-04,3.31E-04
sodC,7.71E-05,1.28E-05,3.49E-07,2.10E-05,1.04E-04,6.29E-05,1.72E-05,1.09E-04
tra5_3,4.66E-04,6.51E-04,1.42E-03,9.36E-04,3.76E-04,6.03E-04,6.22E-04,4.31E-04
fdnH,3.94E-06,9.41E-06,4.56E-05,2.28E-05,4.62E-07,5.04E-06,1.18E-05,2.82E-07
yigL,2.47E-05,3.60E-05,9.77E-05,9.00E-05,2.39E-06,4.30E-06,2.69E-05,6.15E-05
modF,2.15E-04,1.89E-04,1.80E-04,2.07E-04,1.79E-04,1.41E-04,1.92E-04,1.86E-04
hisA,1.38E-04,1.22E-04,1.20E-04,1.02E-04,2.16E-04,1.53E-04,1.70E-04,1.04E-04
gppA,1.12E-04,1.55E-04,2.65E-04,2.38E-04,7.99E-05,1.36E-04,1.64E-04,1.27E-04
manY,1.50E-04,5.80E-05,2.52E-05,4.00E-05,7.46E-06,5.91E-06,1.42E-05,4.85E-05
yhaP,8.68E-05,1.51E-04,2.66E-04,2.09E-04,5.05E-05,1.48E-04,1.50E-04,4.35E-05
aidB,2.45E-04,3.42E-04,5.51E-04,4.56E-04,1.91E-04,3.23E-04,3.60E-04,1.91E-04
melB,1.41E-04,2.03E-04,3.29E-04,2.87E-04,9.63E-05,2.11E-04,2.12E-04,5.95E-05
intC,4.71E-04,6.85E-04,1.46E-03,1.23E-03,2.67E-04,7.11E-04,7.20E-04,4.67E-04
pabB,7.46E-05,8.27E-05,1.03E-04,9.19E-05,7.17E-05,8.27E-05,8.35E-05,5.76E-05
tnaA,8.62E-04,9.92E-04,1.19E-03,1.06E-03,8.40E-04,9.85E-04,9.50E-04,7.80E-04
topA,1.71E-04,6.04E-05,1.54E-05,8.34E-06,3.66E-04,1.42E-04,1.66E-04,6.75E-05
yiiD,1.01E-04,1.16E-04,1.87E-04,1.38E-04,1.26E-04,8.12E-05,7.69E-05,1.12E-04
yijO,3.29E-05,9.16E-05,2.33E-04,1.72E-04,5.33E-07,6.41E-05,9.55E-05,5.29E-05
rtcB,1.32E-04,2.50E-04,3.94E-04,3.58E-04,9.13E-05,1.86E-04,2.69E-04,1.23E-04
yhjV,7.45E-05,1.61E-04,2.11E-04,2.13E-04,6.55E-06,1.02E-04,1.72E-04,6.88E-05
afuC,1.36E-04,1.97E-04,3.10E-04,2.51E-04,8.68E-05,1.30E-04,2.45E-04,8.82E-05
nrdE,2.71E-04,3.06E-04,4.16E-04,3.67E-04,2.58E-04,2.88E-04,3.18E-04,2.69E-04
upp,1.44E-03,8.93E-04,6.34E-04,7.92E-04,1.35E-03,1.12E-03,1.12E-03,2.21E-03
yheJ,3.33E-05,8.80E-05,3.27E-04,2.67E-04,9.41E-06,8.57E-05,1.02E-04,3.94E-05
glcD,7.87E-05,1.76E-04,4.85E-04,4.86E-04,3.22E-06,1.53E-04,2.30E-04,8.35E-05
dniR,1.00E-03,8.73E-04,6.84E-04,7.49E-04,9.24E-04,9.80E-04,8.79E-04,1.32E-03
dgoK,1.82E-04,2.40E-04,4.24E-04,3.15E-04,1.63E-04,2.14E-04,2.41E-04,1.85E-04
yhaM,2.10E-05,8.09E-05,1.82E-04,1.85E-04,2.85E-06,6.60E-05,9.57E-05,7.04E-07
yi21_4,4.34E-04,6.31E-04,9.76E-04,8.57E-04,3.78E-04,6.38E-04,6.34E-04,2.09E-04
pflC,7.29E-05,1.32E-04,2.70E-04,2.68E-04,5.81E-06,9.16E-05,1.75E-04,7.64E-05
mopB,4.00E-04,3.33E-04,3.18E-06,5.97E-05,1.02E-03,3.10E-04,2.38E-04,5.43E-04
yiaC,4.15E-05,7.55E-05,1.27E-04,7.91E-05,4.13E-05,5.00E-05,6.71E-05,4.44E-05
ygjR,6.25E-05,1.49E-04,2.57E-04,2.48E-04,5.51E-05,1.06E-04,1.45E-04,8.84E-05
selD,2.30E-04,2.46E-04,2.31E-04,1.67E-04,2.65E-04,2.47E-04,2.44E-04,2.38E-04
yebL,1.05E-03,4.70E-04,4.09E-04,2.48E-04,2.26E-04,2.87E-04,2.91E-04,2.33E-04
yedD,1.35E-04,1.09E-04,9.16E-05,8.33E-05,1.66E-04,1.13E-04,1.32E-04,1.16E-04
ftsA,1.42E-04,2.12E-04,1.18E-04,1.16E-04,2.57E-04,1.84E-04,1.51E-04,2.00E-04
mltA,2.23E-04,2.88E-04,2.74E-04,2.79E-04,1.76E-04,2.15E-04,2.23E-04,2.81E-04
yhgI,3.24E-04,2.20E-04,2.26E-04,2.76E-04,4.31E-04,3.42E-04,3.20E-04,9.95E-04
gatZ,4.05E-04,3.45E-04,2.47E-04,2.33E-04,2.00E-04,2.30E-04,2.35E-04,2.80E-04
atpA,6.79E-04,5.13E-04,2.03E-04,2.57E-04,3.61E-04,1.58E-04,1.47E-04,2.00E-04
yhhU,1.21E-03,1.07E-03,7.86E-04,8.08E-04,1.32E-03,1.13E-03,1.06E-03,1.12E-03
